,player_name,player_extended_name,nationality,position,overall
11070,Eteki,Yan Brice Eteki,Cameroon,CDM,69
11071,Soriano,Juan Soriano Oropesa,Spain,GK,69
11072,Bernede,Antoine Bernede,France,CM,70
11073,Demoncy,Yohan Demoncy,France,CDM,64
11074,Baxter,Nathan Baxter,United Kingdom of Great Britain and Northern Ireland,GK,63
11075,Guerrero,Enzo Guerrero,Chile,CB,62
11076,Ruiz,Jean Ruiz,France,CB,67
11077,Senhadji,Rayan Senhadji,France,CB,58
11078,Gorosito,Nicolás Gorosito,Argentina,CB,71
11079,Kneževic,Stefan Kneževic,Switzerland,CB,68
11080,Enzler,Simon Enzler,Switzerland,GK,57
11081,St Clair,Harvey St Clair,United Kingdom of Great Britain and Northern Ireland,LW,58
11082,Wissa,Yoane Wissa,France,LM,67
11083,Toni Martínez,Antonio Martínez López,Spain,ST,68
11084,Rasmussen,Jacob Rasmussen,Denmark,CB,68
11085,Rieble,Nico Rieble,Germany,LB,64
11086,Pedersen,Kristian Pedersen,Denmark,LWB,72
11087,Andrić,Komnen Andrić,Serbia,ST,68
11088,Domingos Duarte,Domingos Sousa Menezes Duarte,Portugal,CB,72
11089,Benny,Bernardo Oliveira Dias,Portugal,CAM,70
11090,Yalçiner,Taha Yalçiner,Turkey,CDM,66
11091,Leitsch,Maxim Leitsch,Germany,CB,65
11092,Müller,Sven Müller,Germany,GK,63
11093,Mendes,Houboulang Mendes,France,RB,66
11094,Oblyakov,Ivan Oblyakov,Russian Federation,CM,73
11095,Funk,Marius Funk,Germany,GK,61
11096,Ziegele,Robin Ziegele,Germany,CB,62
11097,Arzani,Daniel Arzani,Australia,RM,69
11098,Karaca,Efecan Karaca,Turkey,RM,73
11099,Pajač,Marko Pajač,Croatia,LM,71
11100,Höler,Lucas Höler,Germany,ST,72
11101,Buntic,Fabijan Buntic,Croatia,GK,64
11102,Dimun,Milan Dimun,Slovakia,CDM,66
11103,Jensen,Fredrik Jensen,Finland,CAM,71
11104,Margiotta,Francesco Margiotta,Italy,ST,65
11105,Seufert,Nils Seufert,Germany,CM,68
11106,Mastinu,Giuseppe Mastinu,Italy,CAM,67
11107,Bohinen,Emil Bohinen,Norway,CM,59
11108,Arak,Jakub Arak,Poland,ST,62
11109,Shipnoski,Nicklas Shipnoski,Germany,RM,68
11110,Coucke,Gaëtan Coucke,Belgium,GK,67
11111,Vanzeir,Dante Vanzeir,Belgium,RW,69
11112,D'Arpino,Maxime D'Arpino,France,CM,64
11113,Alston,Blair Alston,United Kingdom of Great Britain and Northern Ireland,RM,63
11114,Nalepa,Michał Nalepa,Poland,CM,65
11115,Diakhaby,Adama Diakhaby,France,RW,72
11116,Pierie,Kik Pierie,Netherlands,CB,69
11117,Edwards,Raheem Edwards,Canada,LM,65
11118,Sedlar,Aleksandar Sedlar,Serbia,CB,72
11119,Pring,Cameron Pring,United Kingdom of Great Britain and Northern Ireland,LWB,61
11120,Heinrich,Moritz Heinrich,Germany,LM,62
11121,Besuschkow,Max Besuschkow,Germany,CM,63
11122,Amani,Lazare Amani,Côte d'Ivoire,CM,69
11123,João Amaral,João Pedro Reis Amaral,Portugal,CAM,72
11124,Rojano,Daniel Rojano,Colombia,CDM,59
11125,Hernández,Sebastián Hernández,Colombia,CAM,72
11126,Gomis,Yannick Gomis,Senegal,ST,70
11127,Cardelli,Daniele Cardelli,Italy,GK,60
11128,Shakhov,Yevhen Shakhov,Ukraine,CM,71
11129,Christensen,Magnus Christensen,Denmark,CM,61
11130,Laçi,Qazim Laçi,Albania,CAM,66
11131,Benedetti,Amedeo Benedetti,Italy,LB,70
11132,Opondo,Moses Opondo,Uganda,CM,65
11133,Ratón,Álvaro López Ratón,Spain,GK,68
11134,Rosic,Lazar Rosic,Serbia,CB,72
11135,Kakabadze,Otar Kakabadze,Georgia,RB,68
11136,Smith,Jonny Smith,United Kingdom of Great Britain and Northern Ireland,RM,63
11137,Nicolas,Moritz Nicolas,Germany,GK,64
11138,Canotto,Luigi Canotto,Italy,RM,62
11139,Schmidt,Niklas Schmidt,Germany,CAM,67
11140,Richards,Omar Richards,United Kingdom of Great Britain and Northern Ireland,LB,66
11141,Southwood,Luke Southwood,United Kingdom of Great Britain and Northern Ireland,GK,59
11142,Chabbi,Seifedin Chabbi,Tunisia,ST,64
11143,Faes,Wout Faes,Belgium,CB,70
11144,Liénard,Dimitri Liénard,France,CM,73
11145,Ben El-Mhanni,Yasin Ben El-Mhanni,United Kingdom of Great Britain and Northern Ireland,LM,58
11146,Menéndez,Jonathan Menéndez,Argentina,LM,72
11147,Vujica,Ivan Vujica,Australia,LB,63
11148,Thomas,Luke Thomas,United Kingdom of Great Britain and Northern Ireland,RM,67
11149,Stabana,Kyron Stabana,United Kingdom of Great Britain and Northern Ireland,RB,57
11150,Gostomski,Hubert Gostomski,Poland,GK,57
11151,Lynch,Kevin Lynch,Ireland,LB,57
11152,Kobel,Gregor Kobel,Switzerland,GK,72
11153,Kjellevold,Simen Lillevik Kjellevold,Norway,GK,60
11154,Porcino,Antonio Porcino,Italy,LM,63
11155,Luis Pérez,Luis Jesús Pérez Maqueda,Spain,RB,70
11156,Nogami,Yuki Nogami,Japan,CB,65
11157,Getterson,Getterson Alves dos Santos,Brazil,ST,68
11158,Serje,Enrique Serje,Colombia,CDM,65
11159,Makowski,Tomasz Makowski,Poland,CM,64
11160,Ampomah,Nana Ampomah,Ghana,LM,72
11161,Parra,Mario Parra,Chile,CB,65
11162,Lozano,Bryan Lozano,Mexico,RW,62
11163,Iniestra,Andrés Iniestra,Mexico,CM,69
11164,Jurado,Sebastián Jurado,Mexico,GK,67
11165,Esquivel,Joaquín Esquivel,Mexico,CDM,64
11166,Maná,Nicolás Maná,Argentina,RW,66
11167,Balic,Husein Balic,Austria,LM,66
11168,Long Wei,Wei Long,China,CB,56
11169,Menzel,Phillip Menzel,Germany,GK,61
11170,Welch-Hayes,Miles Welch-Hayes,United Kingdom of Great Britain and Northern Ireland,RB,60
11171,Schouten,Jerdy Schouten,Netherlands,CDM,72
11172,Ogihara,Takahiro Ogihara,Japan,CDM,66
11173,Kadioglu,Ferdi Kadioglu,Netherlands,CAM,67
11174,Dunne,Jimmy Dunne,Ireland,CB,68
11175,Daferner,Christoph Daferner,Germany,ST,61
11176,Ghazwani,Hassan Ghazwani,Saudi Arabia,CAM,58
11177,Maja,Josh Maja,United Kingdom of Great Britain and Northern Ireland,ST,66
11178,Al Habib,Hassan Jamal Al Habib,Saudi Arabia,CM,62
11179,Castagnetti,Michele Castagnetti,Italy,CM,70
11180,Mora,Luca Mora,Italy,CM,69
11181,Janelt,Vitaly Janelt,Germany,CM,65
11182,Bongiovanni,Adrien Bongiovanni,Belgium,CAM,66
11183,Rúben Vinagre,Rúben Nascimento Vinagre,Portugal,LWB,70
11184,Bernardi,Christian Bernardi,Argentina,RM,72
11185,Acevedo,Carlos Acevedo,Mexico,GK,70
11186,Salcedo,Roberto Salcedo,Mexico,GK,58
11187,Vrioni,Giacomo Vrioni,Italy,ST,63
11188,Krapikas,Titas Krapikas,Lithuania,GK,62
11189,Svensson,Max Svensson,Sweden,LM,65
11190,Siega,Nicholas Siega,Italy,CAM,68
11191,Gyamfi,Bright Gyamfi,Ghana,RB,61
11192,Reddemann,Sören Reddemann,Germany,CB,64
11193,Pedrinho,Pedro Filipe Barbosa Moreira,Portugal,CAM,72
11194,Álex Craninx,Alexandro Marco Craninx Joostens,Belgium,GK,65
11195,Crociata,Giovanni Crociata,Italy,CAM,66
11196,Fox,Ben Fox,United Kingdom of Great Britain and Northern Ireland,CDM,61
11197,Yeerjieti Yeerzati,Yeerzati Yeerjieti,China,GK,60
11198,Tang Shi,Shi Tang,China,RM,63
11199,Álex Zalaya,Alejandro Zalaya Galardón,Spain,CB,63
11200,Pité,Luís Pedro Pinto Trabulo,Portugal,LB,66
11201,Ângelo Neto,Ângelo Pelegrinelli Neto,Brazil,CM,71
11202,Jebali,Issam Jebali,Tunisia,ST,69
11203,Jendrusch,Robert Jendrusch,Germany,GK,62
11204,Heymans,Daan Heymans,Belgium,CAM,61
11205,Nicolaisen,Rasmus Nicolaisen,Denmark,CB,65
11206,Smith,Sam Smith,United Kingdom of Great Britain and Northern Ireland,ST,60
11207,Arroyo,Abdiel Arroyo,Panama,ST,65
11208,Kammerbauer,Patrick Kammerbauer,Germany,CDM,66
11209,Bogdan,Luka Bogdan,Croatia,CB,67
11210,Moore,Elliott Moore,United Kingdom of Great Britain and Northern Ireland,CB,68
11211,Früchtl,Christian Früchtl,Germany,GK,65
11212,Balaure,Silviu Balaure,Romania,LM,66
11213,Mleczko,Miłosz Mleczko,Poland,GK,61
11214,Popa,Răzvan Popa,Romania,CB,67
11215,Aja,José Aja,Uruguay,CB,67
11216,Schreck,Sam Schreck,Germany,CAM,61
11217,Kouakou,Aubin Kouakou,Côte d'Ivoire,CB,64
11218,Bonifazi,Kevin Bonifazi,Italy,CB,71
11219,Asmah,Patrick Asmah,Ghana,LB,62
11220,Bero,Matúš Bero,Slovakia,CM,71
11221,Schmidt,Patrick Schmidt,Austria,ST,66
11222,Pestka,Kamil Pestka,Poland,LB,65
11223,Alfonso Herrero,Alfonso Herrero Peinador,Spain,GK,70
11224,Calcan,Andreias Calcan,Romania,LW,64
11225,Gheorghe,Valentin Gheorghe,Romania,LM,66
11226,Mosquera,Jhon Mosquera,Colombia,LM,71
11227,Johnsen,Bjørn Johnsen,Norway,ST,71
11228,Pîrvulescu,Paul Pîrvulescu,Romania,LB,64
11229,Niemeijer,Reuven Niemeijer,Netherlands,CAM,64
11230,Beghetto,Andrea Beghetto,Italy,LM,70
11231,Gibbons,James Gibbons,United Kingdom of Great Britain and Northern Ireland,RB,60
11232,Castanheira,Joao Castanheira,Switzerland,GK,57
11233,Iancu,Gabriel Iancu,Romania,LW,65
11234,Fabrie,Michael Fabrie,Netherlands,GK,57
11235,Duarte,Deroy Duarte,Netherlands,CM,67
11236,Ache,Ragnar Ache,Germany,ST,64
11237,Quintana,Aldair Quintana,Colombia,GK,59
11238,Eguelfi,Fabio Eguelfi,Italy,LM,62
11239,Ndoj,Emanuele Ndoj,Albania,CM,69
11240,Oaidă,Răzvan Oaidă,Romania,CM,64
11241,Piscitelli,Riccardo Piscitelli,Italy,GK,64
11242,Javi Benítez,Ángel Javier Velasco Benítez,Spain,GK,62
11243,Peña,Ricardo Peña,Mexico,RB,59
11244,Rodríguez,Carlos Rodríguez,Mexico,CM,70
11245,Freeman,Nick Freeman,United Kingdom of Great Britain and Northern Ireland,LM,64
11246,Jean Carlos,Jean Carlos Silva Rocha,Brazil,CAM,66
11247,Golemic,Vladimir Golemic,Serbia,CB,61
11248,O'Shea,Dara O'Shea,Ireland,CB,67
11249,Özcan,Salih Özcan,Germany,CM,70
11250,Majecki,Radosław Majecki,Poland,GK,66
11251,Dovedan,Nikola Dovedan,Austria,CF,72
11252,Ozegovic,Benjamin Ozegovic,Austria,GK,58
11253,Munetsi,Marshall Munetsi,Zimbabwe,CB,65
11254,Ngezana,Siyabonga Ngezana,South Africa,CB,65
11255,Domingos Quina,Domingos Quina,Portugal,CAM,69
11256,Cano,Matías Cano,Argentina,GK,66
11257,Bellegarde,Jean-Ricner Bellegarde,France,CDM,65
11258,Leikvoll Moberg,Vegard Leikvoll Moberg,Norway,CM,62
11259,Kipré,Cédric Kipré,Côte d'Ivoire,CB,69
11260,Storey,Jordan Storey,United Kingdom of Great Britain and Northern Ireland,CB,67
11261,Seo Young Jae,Young Jae Seo,Korea (Republic of),LB,65
11262,Moreno,Marcelino Moreno,Argentina,RW,73
11263,Diego Ferraresso,Diego Gustavo Ferraresso Scheda,Bulgaria,RB,62
11264,Al Riou,Abdulrahman Al Riou,Saudi Arabia,LB,58
11265,Al Shamrani,Ahmed Al Shamrani,Saudi Arabia,CB,59
11266,Rayman,Mohammed Rayman,Saudi Arabia,LB,58
11267,Abdullah,Tareq Abdullah,Saudi Arabia,RB,59
11268,Karayel,Cebrail Karayel,Turkey,RB,63
11269,Rathbone,Oliver Rathbone,United Kingdom of Great Britain and Northern Ireland,CM,65
11270,Raghfawi,Hassan Mohammed Raghfawi,Saudi Arabia,LB,57
11271,Al Shammary,Abdulmalek Al Shammary,Saudi Arabia,LB,62
11272,Luisinho,Luis Gustavo Melere Silva,Brazil,LM,71
11273,Iban Salvador,Ibán Salvador Edú,Equatorial Guinea,CAM,66
11274,Ganvoula,Silvère Ganvoula,Congo,ST,69
11275,Al Rubaie,Saeed Al Rubaie,Saudi Arabia,CB,64
11276,Benito,Benito Ramírez del Toro,Spain,LM,69
11277,Kaib,Rami Kaib,Sweden,LB,62
11278,Dresevic,Ibrahim Dresevic,Republic of Kosovo,CB,65
11279,Carbonell,Àlex Carbonell Vallés,Spain,CM,67
11280,Aleix Febas,Aleix Febas Pérez,Spain,CM,74
11281,Geiger,Dennis Geiger,Germany,CM,70
11282,Oti Essigba,Emmanuel Oti Essigba,Ghana,LW,63
11283,Parra,Daniel Parra,Mexico,LB,58
11284,Lovett,Rhys Lovett,United Kingdom of Great Britain and Northern Ireland,GK,54
11285,Venegas,Francisco Venegas,Mexico,CB,66
11286,Memiševic,Samir Memiševic,Bosnia and Herzegovina,CB,72
11287,Cabit,Manuel Cabit,France,LB,67
11288,Seka,Ernest Seka,Guinea,CB,70
11289,Salmier,Yoann Salmier,France,CB,71
11290,Sacko,Ihsan Sacko,France,ST,71
11291,Sykes,Ross Sykes,United Kingdom of Great Britain and Northern Ireland,CB,64
11292,Godinho,Marcus Godinho,Canada,RB,63
11293,Massop,Milan Massop,Netherlands,LB,66
11294,Sackey,Isaac Sackey,Ghana,CDM,69
11295,Badiashile,Loïc Badiashile,France,GK,67
11296,Sisniega,Pablo Sisniega,Mexico,GK,66
11297,Al Mutairi,Bandar Al Mutairi,Saudi Arabia,LWB,63
11298,Reid,Tyler Reid,United Kingdom of Great Britain and Northern Ireland,RB,60
11299,Karlstrøm,Jacob Karlstrøm,Norway,GK,60
11300,Rocha,Tony Rocha,United States of America,LB,63
11301,Gunnarshaug,Kristoffer Gunnarshaug,Norway,CM,50
11302,Wilson,Kane Wilson,United Kingdom of Great Britain and Northern Ireland,RB,63
11303,Edwards,Marcus Edwards,United Kingdom of Great Britain and Northern Ireland,RM,69
11304,Álvaro Jiménez,Álvaro José Jiménez Guerrero,Spain,RM,73
11305,Ambrose,Mikey Ambrose,United States of America,LB,63
11306,De Wolf,Ortwin De Wolf,Belgium,GK,69
11307,Diouf,Yehvann Diouf,France,GK,63
11308,Madsen,Mads Emil Madsen,Denmark,CM,62
11309,Yates,Ryan Yates,United Kingdom of Great Britain and Northern Ireland,CM,67
11310,Sarpei,Hans Nunoo Sarpei,Ghana,CDM,60
11311,Yuvakuran,Utku Yuvakuran,Turkey,GK,63
11312,Al Anazi,Waleed Hezam Al Anazi,Saudi Arabia,CM,60
11313,Nelsson,Victor Nelsson,Denmark,CB,71
11314,Mumin,Abdul Mumin,Ghana,CB,65
11315,Lundqvist,Ramon Pascal Lundqvist,Sweden,CM,67
11316,Maresic,Dario Maresic,Austria,CB,71
11317,Zaccagno,Andrea Zaccagno,Italy,GK,65
11318,Bifulco,Alfredo Bifulco,Italy,RM,61
11319,Green,Jordan Green,United Kingdom of Great Britain and Northern Ireland,RM,64
11320,Del Pinto,Lorenzo Del Pinto,Italy,CM,64
11321,Todd,Sam Todd,Ireland,CB,57
11322,Murilo Freitas,Murilo Oliveira de Freitas,Brazil,LW,71
11323,Flores,Dylan Flores,Costa Rica,CAM,69
11324,Al Jasim,Hussain Ali Al Jasim,Saudi Arabia,ST,56
11325,Al Yousif,Abdullah Al Yousif,Saudi Arabia,LB,58
11326,Domínguez,Misael Domínguez,Mexico,LM,68
11327,Paton,Harry Paton,Canada,CM,54
11328,Özcan,Berkay Özcan,Turkey,CAM,71
11329,Soñora,Joel Soñora,United States of America,CAM,63
11330,Bates,David Bates,United Kingdom of Great Britain and Northern Ireland,CB,69
11331,Ampadu,Ethan Ampadu,United Kingdom of Great Britain and Northern Ireland,CB,67
11332,Paleari,Alberto Paleari,Italy,GK,70
11333,Nombe,Sam Nombe,United Kingdom of Great Britain and Northern Ireland,ST,56
11334,Trusty,Auston Trusty,United States of America,CB,68
11335,Dale,Owen Dale,United Kingdom of Great Britain and Northern Ireland,ST,51
11336,Pickering,Harry Pickering,United Kingdom of Great Britain and Northern Ireland,LB,57
11337,Lowery,Tom Lowery,United Kingdom of Great Britain and Northern Ireland,CM,57
11338,James-Wildin,Luther James-Wildin,Antigua and Barbuda,RB,62
11339,Noy,Joaquín Noy,Uruguay,CDM,67
11340,Santi Comesaña,Santiago Comesaña Veiga,Spain,CM,72
11341,Hall,Connor Hall,United Kingdom of Great Britain and Northern Ireland,ST,59
11342,Eze,Eberechi Eze,United Kingdom of Great Britain and Northern Ireland,CAM,71
11343,Sissako,Abdoulaye Sissako,France,CM,62
11344,Sverko,Marin Sverko,Croatia,LB,59
11345,Morley,Aaron Morley,United Kingdom of Great Britain and Northern Ireland,CM,59
11346,Bedeau,Jacob Bedeau,United Kingdom of Great Britain and Northern Ireland,CB,57
11347,Kvilitaia,Giorgi Kvilitaia,Georgia,ST,72
11348,Sidler,Silvan Sidler,Switzerland,LB,62
11349,Iron,Finley Iron,United Kingdom of Great Britain and Northern Ireland,GK,50
11350,Gartler,Paul Gartler,Austria,GK,59
11351,Alarcón,Tomás Alarcón,Chile,CDM,65
11352,Bowry,Daniel Bowry,Antigua and Barbuda,CB,49
11353,Depaoli,Fabio Depaoli,Italy,RB,70
11354,Rafael,York Rafael,Sweden,LWB,54
11355,Bakayoko,Axel Bakayoko,France,RW,64
11356,Pinamonti,Andrea Pinamonti,Italy,ST,70
11357,Kayser,Juan Carlos Kayser,Mexico,RM,62
11358,Fofana,Mamadou Fofana,Mali,CDM,70
11359,Asoro,Joel Asoro,Sweden,ST,65
11360,Bilir,Mahmut Bilir,Turkey,CDM,63
11361,Woud,Michael Woud,New Zealand,GK,62
11362,Varnier,Marco Varnier,Italy,CB,70
11363,Strizzolo,Luca Strizzolo,Italy,ST,66
11364,Vitó,Victor Emanuel Araújo Ferreira,Portugal,CM,63
11365,Balić,Andrija Balić,Croatia,CM,68
11366,Gil,Nicolás Gil,Colombia,LB,63
11367,Belahmeur,Abdelhak Belahmeur,France,CAM,60
11368,Eid,Mahmoud Eid,"Palestine, State of",ST,59
11369,Tormin,Guévin Tormin,France,RM,67
11370,Saadane,Marwane Saadane,Morocco,CB,67
11371,Atiemwen,Iyayi Atiemwen,Nigeria,CAM,69
11372,Zeefuik,Deyovaisio Zeefuik,Netherlands,RB,69
11373,Embleton,Elliot Embleton,United Kingdom of Great Britain and Northern Ireland,CM,60
11374,Mantovani,Valerio Mantovani,Italy,CB,67
11375,Cuadra,Pablo Cuadra,Argentina,ST,70
11376,D'Urso,Christian D'Urso,Italy,CAM,64
11377,Rafa Navarro,Rafael Jesús Navarro Mazuelos,Spain,RB,70
11378,Lomónaco,Sebastián Lomónaco,Argentina,ST,60
11379,Brunetta,Juan Brunetta,Argentina,LM,68
11380,Barceló,Facundo Barceló,Uruguay,ST,65
11381,Guitane,Rafik Guitane,France,CAM,66
11382,Behounek,Jonas Behounek,Germany,RB,59
11383,Güney,Gökay Güney,Turkey,CDM,60
11384,Mario González,Mario González Gutiérrez,Spain,LW,63
11385,Pablo Larrea,Pablo Larrea Gambara,Spain,CDM,66
11386,Al Aryani,Abdulaziz Al Aryani,Saudi Arabia,RM,59
11387,Morales,Iván Morales,Chile,RW,65
11388,Burner,Patrick Burner,France,RB,71
11389,Alex Pozo,Alejandro Pozo Pozo,Spain,LM,69
11390,Gómez,Iván Gómez,Argentina,CDM,72
11391,Briasco,Norberto Briasco,Armenia,ST,65
11392,Cordero,Nicolás Cordero,Argentina,ST,56
11393,Amos,Danny Amos,United Kingdom of Great Britain and Northern Ireland,LB,57
11394,Borkovic,Alexandar Borkovic,Austria,CB,63
11395,Moumi Ngamaleu,Nicolas Moumi Ngamaleu,Cameroon,LM,72
11396,Vom Steeg,Justin Vom Steeg,United States of America,GK,57
11397,O'Doherty,Jordan O'Doherty,Australia,CDM,63
11398,Morris,Ben Morris,United Kingdom of Great Britain and Northern Ireland,ST,60
11399,Herc,Christián Herc,Slovakia,CM,64
11400,Levingston,Conor Levingston,Ireland,CDM,58
11401,Gibbs-White,Morgan Gibbs-White,United Kingdom of Great Britain and Northern Ireland,CM,70
11402,Levis,Brett Levis,Canada,LB,60
11403,N'Goma,Ferris N'Goma,France,LM,68
11404,Smith,Harry Smith,United Kingdom of Great Britain and Northern Ireland,ST,62
11405,Brown,James Brown,United Kingdom of Great Britain and Northern Ireland,RB,59
11406,Javi Díaz,Javier Díaz Sánchez,Spain,GK,65
11407,Cockerill-Mollett,Callum Cockerill-Mollett,Ireland,LB,58
11408,Dani Cárdenas,Daniel Cárdenas Lindez,Spain,GK,63
11409,Clement,Pelle Clement,Netherlands,CM,68
11410,Duncan,Kyle Duncan,United States of America,RB,61
11411,Batty,Daniel Batty,United Kingdom of Great Britain and Northern Ireland,CDM,66
11412,Reinildo,Reinildo Isnard Mandava,Mozambique,LB,70
11413,Zlobin,Ivan Zlobin,Russian Federation,GK,70
11414,Granlund,Albin Granlund,Finland,LWB,63
11415,Hume,Denver Hume,United Kingdom of Great Britain and Northern Ireland,LB,61
11416,Diaw,Davide Djily Diaw,Italy,ST,65
11417,Mensah,Evans Mensah,Ghana,LW,61
11418,Neumann,Phil Neumann,Germany,CB,67
11419,Rodney,Devante Rodney,United Kingdom of Great Britain and Northern Ireland,ST,57
11420,Chabalala,Justice Chabalala,South Africa,CB,65
11421,Whiteman,Alfie Whiteman,United Kingdom of Great Britain and Northern Ireland,GK,63
11422,Sibbick,Toby Sibbick,United Kingdom of Great Britain and Northern Ireland,RB,63
11423,Ejaria,Ovie Ejaria,United Kingdom of Great Britain and Northern Ireland,CM,72
11424,Woodburn,Ben Woodburn,United Kingdom of Great Britain and Northern Ireland,CAM,68
11425,Abarca,Ronaldo Abarca,Chile,CAM,59
11426,Peña,Sergio Peña,Peru,CAM,70
11427,Santamaría,Anderson Santamaría,Peru,CB,69
11428,Aquino,Pedro Aquino,Peru,CDM,73
11429,Bartolec,Karlo Bartolec,Croatia,RB,67
11430,Conté,Ibrahima Conté,Guinea,CB,67
11431,Ibáñez,Nicolás Ibáñez,Argentina,ST,70
11432,Cuomo,Giuseppe Cuomo,Italy,CB,58
11433,Atuesta,Eduard Atuesta,Colombia,CDM,72
11434,Koke Vegas,Jorge Ruiz Ojeda,Spain,GK,70
11435,Josema,José Manuel Sánchez Guillén,Spain,CB,65
11436,Graovac,Daniel Graovac,Bosnia and Herzegovina,CB,65
11437,Marchizza,Riccardo Marchizza,Italy,CB,65
11438,Hart,Sam Hart,United Kingdom of Great Britain and Northern Ireland,LB,63
11439,Jones,Alfie Jones,United Kingdom of Great Britain and Northern Ireland,CB,63
11440,Valery,Yan Valery,France,RWB,69
11441,Vokins,Jake Vokins,United Kingdom of Great Britain and Northern Ireland,LB,57
11442,German,Ricky German,United Kingdom of Great Britain and Northern Ireland,ST,54
11443,Cojocaru,Valentin Cojocaru,Romania,GK,69
11444,Mileusnic,Nikola Mileusnic,Australia,RW,63
11445,Molumby,Jayson Molumby,Ireland,CM,61
11446,González,Rodrigo González,Chile,RM,65
11447,Flanagan,Kian Flanagan,Ireland,CAM,58
11448,Watts,Dylan Watts,Ireland,CM,61
11449,Wood,Connor Wood,United Kingdom of Great Britain and Northern Ireland,LB,61
11450,Mohammed,Kadiri Mohammed,Ghana,CB,66
11451,Maggiore,Giulio Maggiore,Italy,CM,67
11452,Zesiger,Cédric Zesiger,Switzerland,CB,62
11453,Miguel Santos,Miguel Santos,Portugal,GK,63
11454,Wright,Diaz Wright,United Kingdom of Great Britain and Northern Ireland,CDM,57
11455,Plizzari,Alessandro Plizzari,Italy,GK,66
11456,Lunney,Jonathan Lunney,Ireland,CM,58
11457,Marc Cardona,Marc Cardona Rovira,Spain,ST,72
11458,Bergsma,Léon Bergsma,Netherlands,CB,65
11459,Lasure,Daniel Lasure Briz,Spain,LB,67
11460,Hamrol,Matthias Hamrol,Germany,GK,62
11461,Kulenović,Sandro Kulenović,Croatia,ST,61
11462,Olsson,Simon Olsson,Sweden,CM,65
11463,Sbarra,Joe Sbarra,United Kingdom of Great Britain and Northern Ireland,CM,57
11464,Kabongo,Joel Kabongo,Denmark,CB,63
11465,Peña,Ronaldo Peña,Venezuela (Bolivarian Republic of),ST,66
11466,Morgado,Bruno Morgado,Switzerland,LWB,64
11467,Doumbia,Souleyman Doumbia,Côte d'Ivoire,LB,67
11468,Poúngouras,Achilléas Poúngouras,Greece,CB,67
11469,Faye,Lassana Faye,Netherlands,LB,64
11470,Michelin,Clément Michelin,France,RB,69
11471,Götze,Felix Götze,Germany,CB,66
11472,Aktas,Aksel Aktas,Turkey,CAM,56
11473,Kaasa,Markus André Kaasa,Norway,CM,61
11474,Bundu,Mustapha Bundu,Sierra Leone,RW,66
11475,Claude Maurice,Alexis Claude Maurice,France,LM,72
11476,Bissouma,Yves Bissouma,Mali,CM,75
11477,Pedro Díaz,Pedro Díaz Fanjul,Spain,CAM,65
11478,Bolger,Aaron Bolger,Ireland,CM,59
11479,Fülöp,István Fülöp,Romania,CAM,66
11480,Artur Jorge,Artur Jorge Marques Amorim,Portugal,CB,71
11481,Senesi,Marcos Senesi,Argentina,CB,73
11482,Conechny,Tomás Conechny,Argentina,ST,65
11483,Adrián Diéguez,Adrián Diéguez Grande,Spain,CB,69
11484,Lautoa,Wesley Lautoa,New Caledonia,CB,72
11485,Kristoffersen,Julian Kristoffersen,Norway,ST,59
11486,Nordin,Arnaud Nordin,France,LM,70
11487,Brignola,Enrico Brignola,Italy,CAM,70
11488,Ahmedhodzic,Anel Ahmedhodzic,Sweden,CB,57
11489,Alzate,Steven Alzate,United Kingdom of Great Britain and Northern Ireland,CM,56
11490,O'Brien,Lewis O'Brien,United Kingdom of Great Britain and Northern Ireland,CM,64
11491,Koch,Robin Koch,Germany,CDM,73
11492,Glatzel,Robert Glatzel,Germany,ST,73
11493,Arteaga,Gerardo Arteaga,Mexico,LB,68
11494,Adrian,Samuel Adrian,Sweden,CM,60
11495,Ndjoli,Mikael Ndjoli,United Kingdom of Great Britain and Northern Ireland,ST,60
11496,Darling,Harry Darling,United Kingdom of Great Britain and Northern Ireland,CB,56
11497,Huth,Elias Huth,Germany,ST,64
11498,Möbius,Justin Möbius,Germany,CAM,62
11499,Guilherme Schettine,Guilherme Schettine Guimarães,Brazil,ST,71
11500,Hongla,Martin Hongla,Cameroon,CDM,67
11501,Patrick,Omari Patrick,United Kingdom of Great Britain and Northern Ireland,ST,58
11502,Paes,Maarten Paes,Netherlands,GK,65
11503,Wijndal,Owen Wijndal,Netherlands,LB,68
11504,You Ju An,Ju An You,Korea (Republic of),ST,66
11505,Kim Jin Ya,Jin Ya Kim,Korea (Republic of),LB,65
11506,Farfan,Marco Farfan,United States of America,LB,63
11507,Bena,Quentin Bena,France,CDM,63
11508,Sylisufaj,Edi Sylisufaj,Sweden,ST,56
11509,Johansson,Ludvig Johansson,Sweden,CB,53
11510,Tanganga,Japhet Tanganga,United Kingdom of Great Britain and Northern Ireland,CB,65
11511,Sandoval,Luis Sandoval,Colombia,RM,60
11512,Grill,Lennart Grill,Germany,GK,64
11513,Rigo,Dante Rigo,Belgium,CM,66
11514,Lemoine,Laurent Lemoine,Belgium,CB,61
11515,Hamel,Pierre-Yves Hamel,France,ST,72
11516,Barkok,Aymen Barkok,Germany,CM,70
11517,Koutroumbis,Johnny Koutroumbis,Australia,RB,61
11518,Kade,Julius Kade,Germany,CAM,62
